rank,variable,weightedImportance,relativeWeightedImportance,cumulativeWeightedImportance
1,ageMonths,0.01081,4.69 %,4.69 %
2,Faecalibacterium_prausnitzii,0.00534,2.32 %,7.01 %
3,Bifidobacterium_pseudocatenulatum,0.00394,1.71 %,8.72 %
4,Roseburia_faecis,0.00391,1.7 %,10.42 %
5,Clostridium_innocuum,0.00385,1.67 %,12.09 %
6,Bacteroides_vulgatus,0.00379,1.64 %,13.73 %
7,Blautia_wexlerae,0.00374,1.62 %,15.35 %
8,Bifidobacterium_longum,0.00371,1.61 %,16.96 %
9,Parabacteroides_merdae,0.00334,1.45 %,18.41 %
10,Eubacterium_sp_CAG_38,0.00329,1.43 %,19.84 %
11,Intestinibacter_bartlettii,0.00314,1.36 %,21.2 %
12,Anaerostipes_hadrus,0.00299,1.3 %,22.5 %
13,Megamonas_funiformis,0.00286,1.24 %,23.74 %
14,Eggerthella_lenta,0.0027,1.17 %,24.91 %
15,Eubacterium_eligens,0.00265,1.15 %,26.06 %
16,Ruminococcus_bromii,0.00261,1.13 %,27.2 %
17,Ruminococcus_gnavus,0.00261,1.13 %,28.33 %
18,Parasutterella_excrementihominis,0.0026,1.13 %,29.46 %
19,Streptococcus_salivarius,0.0026,1.13 %,30.59 %
20,Bacteroides_uniformis,0.00246,1.07 %,31.65 %
21,Roseburia_inulinivorans,0.00246,1.07 %,32.72 %
22,Dorea_longicatena,0.00244,1.06 %,33.78 %
23,Bacteroides_dorei,0.00242,1.05 %,34.83 %
24,Flavonifractor_plautii,0.00239,1.04 %,35.87 %
25,Fusicatenibacter_saccharivorans,0.00235,1.02 %,36.89 %
26,Intestinimonas_butyriciproducens,0.0023,1.0 %,37.89 %
27,Roseburia_intestinalis,0.00229,0.99 %,38.88 %
28,Eubacterium_hallii,0.00228,0.99 %,39.87 %
29,Streptococcus_thermophilus,0.00227,0.98 %,40.85 %
30,Veillonella_dispar,0.00225,0.97 %,41.82 %
31,Bacteroides_caccae,0.00223,0.97 %,42.79 %
32,Haemophilus_parainfluenzae,0.00223,0.97 %,43.76 %
33,Roseburia_hominis,0.00223,0.97 %,44.73 %
34,Alistipes_finegoldii,0.0022,0.96 %,45.68 %
35,Eubacterium_rectale,0.0022,0.96 %,46.64 %
36,Collinsella_aerofaciens,0.00212,0.92 %,47.56 %
37,Parabacteroides_distasonis,0.00209,0.91 %,48.46 %
38,Bacteroides_thetaiotaomicron,0.00204,0.88 %,49.35 %
39,Sellimonas_intestinalis,0.00203,0.88 %,50.23 %
40,Ruthenibacterium_lactatiformans,0.00202,0.88 %,51.11 %
41,Ruminococcus_bicirculans,0.00202,0.88 %,51.98 %
42,Blautia_obeum,0.002,0.87 %,52.85 %
43,Firmicutes_bacterium_CAG_41,0.00198,0.86 %,53.71 %
44,Ruminococcus_lactaris,0.00198,0.86 %,54.57 %
45,Bacteroides_ovatus,0.0019,0.83 %,55.4 %
46,Hungatella_hathewayi,0.00189,0.82 %,56.22 %
47,Anaerotruncus_colihominis,0.00188,0.82 %,57.03 %
48,Bacteroides_fragilis,0.00186,0.81 %,57.84 %
49,Erysipelatoclostridium_ramosum,0.00186,0.81 %,58.65 %
50,Veillonella_atypica,0.00182,0.79 %,59.44 %
51,Subdoligranulum_sp,0.00181,0.79 %,60.22 %
52,Ruminococcus_torques,0.0018,0.78 %,61.0 %
53,Clostridium_symbiosum,0.00175,0.76 %,61.77 %
54,Bifidobacterium_bifidum,0.00172,0.75 %,62.51 %
55,Escherichia_coli,0.00172,0.74 %,63.26 %
56,Veillonella_parvula,0.00172,0.74 %,64.0 %
57,Sutterella_wadsworthensis,0.00171,0.74 %,64.74 %
58,Clostridium_sp_CAG_58,0.00168,0.73 %,65.47 %
59,Dorea_formicigenerans,0.00167,0.73 %,66.2 %
60,Bacteroides_xylanisolvens,0.00166,0.72 %,66.92 %
61,Prevotella_copri,0.00163,0.71 %,67.62 %
62,Ruminococcaceae_bacterium_KLE1738,0.00163,0.71 %,68.33 %
63,Monoglobus_pectinilyticus,0.0016,0.69 %,69.02 %
64,Agathobaculum_butyriciproducens,0.00159,0.69 %,69.71 %
